Month,total_tested,positive_case ,year
January,1884,43,2019
February,1507,45,2019
March,1476,52,2019
April,1374,31,2019
May,1442,34,2019
June,2035,74,2019
July,2747,108,2019
August,3988,123,2019
September,3574,82,2019
October,2638,165,2019
November,2790,171,2019
December,3834,211,2019
January,3022,153,2020
February,2843,152,2020
March,2676,187,2020
April,1642,190,2020
May,2212,262,2020
June,1995,122,2020
July,2520,164,2020
August,2382,140,2020
September,2948,190,2020
October,2948,160,2020
November,2671,92,2020
December,2992,110,2020
January,1131,73,2021
February,1044,66,2021
March,1048,75,2021
April,809,52,2021
May,895,54,2021
June,1449,131,2021
July,1474,131,2021
August,1794,176,2021
September,1756,137,2021
October,1732,183,2021
November,1712,186,2021
December,2052,253,2021
January,3735,371,2022
February,3454,432,2022
March,3850,368,2022
April,3902,646,2022
May,5003,608,2022
