"","long","lat","names","malpos.hh"
"3",41.8051784934236,9.62261843162688,"LL",NA
"24",41.8433074206107,9.59245741157047,"HH",NA
"52",41.8159504169504,9.60308867984075,"LL",NA
"64",41.8463142897391,9.59063489742511,"HH",NA
"69",41.8633962584507,9.56525287677736,"HH",NA
"74",41.8125403201135,9.60793178315833,"LL",NA
"85",41.8388461305564,9.59343358918871,"HL",NA
"90",41.8074100984171,9.60952742110982,"LL",NA
"93",41.8421087218724,9.59825818559861,"HL",NA
"97",41.8459004429166,9.5879461121214,"HH",NA
"108",41.845433965084,9.5985831844957,"HH",NA
"111",41.8527494660607,9.60907479759734,"HH",NA
"130",41.8192753450244,9.61435455661439,"LL",NA
"1",41.8392829557041,9.59232782952363,NA,0
"2",41.8456926063149,9.58812850380709,NA,0.333333333333333
"310",41.8051784934236,9.62261843162688,NA,0
"4",41.8459183818069,9.59009610096669,NA,0.25
"5",41.8435731431214,9.59484929222186,NA,0.25
"6",41.8468676877473,9.59913150750977,NA,0
"7",41.8397939890544,9.60012921109777,NA,0.333333333333333
"8",41.8437744445339,9.59497411688774,NA,0.285714285714286
"9",41.8427192917873,9.59615723301666,NA,0.333333333333333
"10",41.8456021900796,9.58820152029837,NA,0
"11",41.8449813204681,9.59779189869448,NA,0
"12",41.842475089714,9.59416267893041,NA,0
"13",41.8431533638014,9.5925399848285,NA,0.2
"14",41.8457258879245,9.59756895461019,NA,0.25
"15",41.8451163981085,9.58779897318933,NA,0
"16",41.8449514497643,9.59748498187759,NA,0.2
"17",41.8442405763636,9.59301889964855,NA,0
"18",41.843609568424,9.59594213120146,NA,0.166666666666667
"19",41.8355503369277,9.59336122886245,NA,0
"20",41.8450905465434,9.59779100046891,NA,0
"21",41.8425694250964,9.59455940931674,NA,0.333333333333333
"22",41.8438336212653,9.59333844048193,NA,0
"23",41.8366914571633,9.58828366196152,NA,0
"241",41.8433074206107,9.59245741157047,NA,1
"25",41.8393508113857,9.59501044015607,NA,0.25
"26",41.8484231408664,9.60226259134479,NA,0
"27",41.8446260808101,9.59994495742531,NA,0
"28",41.8477716402235,9.59837423086749,NA,0.25
"29",41.8466022901148,9.5989620422559,NA,0
"30",41.8413165917895,9.59714444951073,NA,0.5
"31",41.8439304444925,9.59403327825159,NA,0.333333333333333
"32",41.8429006154791,9.5927950185498,NA,0
"33",41.8391019673164,9.5924557933102,NA,0
"34",41.8409874926876,9.59806864236926,NA,0.666666666666667
"35",41.8492238774777,9.60875155208588,NA,0
"36",41.8430804388185,9.59580193185596,NA,0
"37",41.8381812254123,9.59338483667779,NA,0
"38",41.8493036012191,9.60087311199216,NA,0
"39",41.8399623027696,9.5930178922104,NA,0
"40",41.8437660639919,9.5928782513309,NA,0.5
"41",41.8412333641647,9.59371213000682,NA,0
"42",41.8454545249114,9.58795881054768,NA,0
"43",41.8458891355297,9.5909545889968,NA,0.333333333333333
"44",41.8415657079992,9.59426952299817,NA,0.333333333333333
"45",41.8414064085386,9.59699916443906,NA,0
"46",41.8530525431958,9.61156571384384,NA,0
"47",41.8403121618423,9.59021441118372,NA,0.333333333333333
"48",41.8414622717892,9.59387286669929,NA,0.25
"49",41.8406807025879,9.60275992206052,NA,0
"50",41.8473431589295,9.59829645029201,NA,0
"51",41.8437289776666,9.59279724821625,NA,0.142857142857143
"521",41.8159504169504,9.60308867984075,NA,0
"53",41.8375894310789,9.59555790793033,NA,0
"54",41.8353472134829,9.59520588244234,NA,0
"55",41.8438598803336,9.60520915999271,NA,0
"56",41.844286371739,9.59196152230593,NA,0
"57",41.8260492161173,9.60350317935669,NA,0
"58",41.8401485587478,9.59352228067126,NA,0
"59",41.8472438046913,9.59621037408917,NA,0.333333333333333
"60",41.8265538730338,9.59520554326459,NA,0
"61",41.8417305154948,9.59329247453684,NA,0
"62",41.8435373218712,9.59382872177306,NA,0.666666666666667
"63",41.8349172484318,9.60370161293648,NA,0
"641",41.8463142897391,9.59063489742511,NA,1
"65",41.8376427630993,9.5975901756336,NA,0
"66",41.8444863319003,9.60936876743925,NA,0
"67",41.8464175765299,9.59755423035287,NA,0.25
"68",41.8380705670184,9.59649352334118,NA,0
"691",41.8633962584507,9.56525287677736,NA,0.5
"70",41.8396018308066,9.59345449277462,NA,0
"71",41.8286838040985,9.60067196611169,NA,0
"72",41.8504273006446,9.60244482843052,NA,0.666666666666667
"73",41.8443338755608,9.59438229655835,NA,0.285714285714286
"741",41.8125403201135,9.60793178315833,NA,0
"75",41.8476595890919,9.59694775444659,NA,0.5
"76",41.8460436616086,9.58765584119332,NA,0
"77",41.8378378214729,9.59696521295565,NA,0
"78",41.8462422688153,9.62665474879756,NA,0.166666666666667
"79",41.8460116629851,9.59036635975039,NA,0
"80",41.825749059242,9.60353273547362,NA,0
"81",41.8385717879362,9.59437540007975,NA,0
"82",41.8456129657948,9.59712720835149,NA,0.333333333333333
"83",41.8488836146693,9.60072299106588,NA,0
"84",41.8492098649892,9.60272588629227,NA,0
"851",41.8388461305564,9.59343358918871,NA,1
"86",41.8453424151276,9.59852069820819,NA,0
"87",41.8379441901027,9.59552789594336,NA,0.5
"88",41.8432913704553,9.59598991698598,NA,0
"89",41.8402524721492,9.59834570435287,NA,0.333333333333333
"901",41.8074100984171,9.60952742110982,NA,0
"91",41.8222453369613,9.59375907326348,NA,0
"92",41.8413542366786,9.59183202027183,NA,0
"931",41.8421087218724,9.59825818559861,NA,1
"94",41.8428791613156,9.59131358473703,NA,0
"95",41.8453142968553,9.59188080124608,NA,0.2
"96",41.8255861102885,9.60912631749017,NA,0
"971",41.8459004429166,9.5879461121214,NA,0.8
"98",41.8386057141482,9.59407699194813,NA,0
"99",41.8418859494776,9.59555878603697,NA,0
"100",41.8471478017497,9.58907416547376,NA,0.5
"101",41.8472203231549,9.60102578126856,NA,0
"102",41.8355257252037,9.59477980951882,NA,0
"103",41.8462736774329,9.59776320037034,NA,0
"104",41.8475446360785,9.62020264436977,NA,0.2
"105",41.839289351412,9.59418882920064,NA,0
"106",41.8462371011651,9.5901115493913,NA,0
"107",41.8410942795433,9.60650572382239,NA,0
"1081",41.845433965084,9.5985831844957,NA,1
"109",41.8504602320628,9.60202898621573,NA,0
"110",41.8175034696718,9.60485580381587,NA,0
"1111",41.8527494660607,9.60907479759734,NA,1
"112",41.8355980570702,9.6001907382631,NA,0
"113",41.8453261940119,9.58785145468408,NA,0.333333333333333
"114",41.8432452568931,9.59591802227302,NA,0
"115",41.8510729278961,9.60345132983928,NA,0
"116",41.8435374882737,9.59493992720613,NA,0
"117",41.8460247041668,9.58756565512954,NA,0.666666666666667
"118",41.8448571611854,9.59164063515516,NA,0
"119",41.8425943247732,9.60409029287779,NA,0
"120",41.8451612963034,9.59208984517801,NA,0.5
"121",41.8325433199504,9.60393789158519,NA,0
"122",41.8305692335241,9.59532630591343,NA,0.166666666666667
"123",41.8340975273203,9.60036565348981,NA,0
"124",41.8400809041474,9.60069601149638,NA,0
"125",41.8387612075824,9.59744548683518,NA,0.25
"126",41.8392162334802,9.59415329211288,NA,0
"127",41.8413041757434,9.59674704591531,NA,0
"128",41.8437358677433,9.59580558027075,NA,0.6
"129",41.8488964994164,9.60335182511238,NA,0
"1301",41.8192753450244,9.61435455661439,NA,0
"131",41.8300380272079,9.59712847651546,NA,0
"132",41.8437919125993,9.59597676946517,NA,0.666666666666667
"133",41.8297304039017,9.5951615144474,NA,0
"134",41.8416687429256,9.59134159096985,NA,0
"135",41.8385407205617,9.59392394294904,NA,0
"136",41.8465964790336,9.5982664584324,NA,0.666666666666667
"137",41.8320101411284,9.59674193410094,NA,0
"138",41.8441364937082,9.59472721821481,NA,0.5
